RecipeId,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent
242042,636.2,26.1,15.9,119.6,247.2,94.7,1.1,62.8,7.2
168073,9.5,0.6,0.1,0.0,37.0,0.8,0.2,0.3,0.5
186241,933.9,6.3,1.1,0.0,3509.9,201.4,26.8,27.8,33.4
135940,633.4,49.0,17.5,57.3,715.2,28.2,4.3,10.0,24.0
90119,179.3,2.6,0.4,0.0,1370.4,23.5,2.7,13.8,5.2
504233,535.2,19.1,3.4,139.9,100.1,73.0,5.0,4.2,18.0
81330,434.2,25.6,8.7,73.5,923.6,27.2,1.8,5.1,23.5
11020,161.9,4.1,0.8,68.4,375.8,2.6,1.0,0.6,27.6
208037,408.6,20.7,9.2,108.2,996.7,27.4,2.5,4.9,27.3
438115,564.4,0.7,0.0,0.0,4.5,143.8,20.0,123.8,3.2
189104,70.3,0.3,0.0,0.0,3.1,17.9,0.9,14.3,1.4
46058,478.3,3.7,1.4,5.5,138.3,92.0,5.7,5.4,18.0
315583,223.6,3.4,0.9,7.6,377.7,39.0,4.2,7.2,10.1
458527,1867.5,96.9,40.2,403.1,5432.2,115.4,11.3,11.3,71.1
373957,283.9,22.2,7.0,28.9,240.5,13.2,3.0,5.0,7.8
488003,259.0,13.5,2.6,42.3,473.5,28.7,0.9,2.6,5.7
256564,28.5,2.9,1.8,7.6,57.0,0.1,0.0,0.0,0.1
74194,896.7,54.0,22.1,72.6,1462.7,85.6,5.4,18.0,19.2
30545,132.7,0.6,0.4,4.9,148.7,21.6,0.3,6.7,10.0
315700,384.9,17.9,8.1,105.5,396.5,20.7,1.8,3.6,34.0
515924,440.0,18.2,5.1,87.4,2775.8,34.2,0.9,29.1,26.3
189143,219.8,4.5,2.4,8.6,411.6,36.5,1.6,1.8,8.6
213373,520.9,28.9,12.1,86.3,759.8,37.0,1.9,3.1,27.6
265705,442.6,20.8,10.6,53.6,252.9,43.3,1.5,28.7,6.0
151018,277.5,0.1,0.0,0.0,4.9,71.6,0.0,59.9,0.9
177854,429.3,12.8,4.4,149.7,132.1,30.0,2.4,24.1,47.7
362976,203.4,7.0,2.4,11.1,653.3,29.8,4.1,8.5,7.8
55134,2877.0,126.7,21.0,423.0,3339.7,419.2,19.3,252.3,40.6
516552,113.6,9.4,1.3,0.0,64.1,6.5,0.3,0.5,1.0
419647,352.4,17.2,10.4,18.1,249.0,50.1,2.6,30.3,4.3
86924,1158.2,40.3,9.0,105.8,1182.4,170.2,6.7,13.2,26.7
260589,16.5,0.4,0.1,0.0,1.1,3.3,0.9,1.8,0.5
401539,671.0,34.9,13.0,180.1,1759.9,20.1,0.3,1.2,65.3
121939,774.0,0.0,0.0,0.0,2.0,200.0,0.0,199.6,0.0
21481,543.0,26.3,6.4,132.8,1264.7,49.5,3.6,33.2,27.9
508517,358.6,19.4,7.0,33.6,698.0,31.9,3.0,4.7,15.1
228351,454.9,24.7,14.5,187.3,58.6,56.3,3.6,50.7,5.1
